
[2020-04-08 00:29:35.495] ,,31,26.36,69.08
[2020-04-08 00:32:05.497] ,,32,26.02,70.31
[2020-04-08 00:34:35.497] ,,32,25.91,71.43
[2020-04-08 00:37:05.513] ,,32,25.86,71.79
[2020-04-08 00:39:35.498] ,,32,25.80,72.33
[2020-04-08 00:42:05.498] ,,32,25.80,72.77
[2020-04-08 00:44:35.514] ,,33,25.80,72.39
[2020-04-08 00:47:05.514] ,,33,25.70,72.84
[2020-04-08 00:49:35.515] ,,33,25.62,73.27
[2020-04-08 00:52:05.516] ,,33,25.67,73.30
[2020-04-08 00:54:35.517] ,,34,25.63,72.90
[2020-04-08 00:57:05.519] ,,34,25.55,72.61
[2020-04-08 00:59:35.535] ,,34,25.60,73.41
[2020-04-08 01:02:05.536] ,,34,25.64,73.07
[2020-04-08 01:04:35.538] ,,34,25.57,73.16
[2020-04-08 01:07:05.539] ,,34,25.58,73.10
[2020-04-08 01:09:35.540] ,,34,25.53,72.92
[2020-04-08 01:12:05.541] ,,35,25.56,73.65
[2020-04-08 01:14:35.558] ,,35,25.60,73.31
[2020-04-08 01:17:05.559] ,,35,25.59,73.04
[2020-04-08 01:19:35.560] ,,35,25.60,74.20
[2020-04-08 01:22:05.561] ,,35,25.66,73.62
[2020-04-08 01:24:35.562] ,,35,25.64,73.27
[2020-04-08 01:27:05.564] ,,35,25.64,73.55
[2020-04-08 01:29:35.566] ,,36,25.60,73.52
[2020-04-08 01:32:05.582] ,,36,25.53,72.98
[2020-04-08 01:34:35.584] ,,36,25.59,73.51
[2020-04-08 01:37:05.586] ,,36,25.55,72.51
[2020-04-08 01:39:35.587] ,,36,25.46,73.00
[2020-04-08 01:42:05.588] ,,36,25.42,73.61
[2020-04-08 01:44:35.590] ,,36,25.41,73.63
[2020-04-08 01:47:05.591] ,,37,25.29,72.66
[2020-04-08 01:49:35.607] ,,37,25.26,73.03
[2020-04-08 01:52:05.609] ,,37,25.09,72.99
[2020-04-08 01:54:35.610] ,,37,25.30,73.09
[2020-04-08 01:57:05.612] ,,37,25.39,73.19
[2020-04-08 01:59:35.613] ,,37,25.42,72.85
[2020-04-08 02:02:05.614] ,,37,25.35,72.64
[2020-04-08 02:04:35.631] ,,37,25.42,72.67
[2020-04-08 02:07:05.633] ,,37,25.37,72.34
[2020-04-08 02:09:35.634] ,,37,25.41,72.54
[2020-04-08 02:12:05.635] ,,37,25.50,72.70
[2020-04-08 02:14:35.637] ,,37,25.49,72.12
[2020-04-08 02:17:05.639] ,,37,25.39,72.10
[2020-04-08 02:19:35.641] ,,38,25.32,72.17
[2020-04-08 02:22:05.642] ,,38,25.33,72.23
[2020-04-08 02:24:35.659] ,,38,25.25,72.10
[2020-04-08 02:27:05.660] ,,38,25.22,72.09
[2020-04-08 02:29:35.662] ,,38,25.27,72.25
[2020-04-08 02:32:05.663] ,,38,25.31,72.08
[2020-04-08 02:34:35.664] ,,38,25.16,72.43
[2020-04-08 02:37:05.674] ,,38,25.25,72.31
[2020-04-08 02:39:35.676] ,,38,25.19,72.07
[2020-04-08 02:42:05.677] ,,38,25.20,72.42
